epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4316.2,0.82137,0.61107,1.18735,0.94499,0.87052,0.94346,0.88663,0.35856,0.32907,0.93521,0.00538,0.00538,0.00538
44,4415.28,0.8205,0.61858,1.18308,0.93461,0.89532,0.945,0.88556,0.36781,0.33799,0.94083,0.00527,0.00527,0.00527
45,4514.25,0.81147,0.60051,1.1839,0.93199,0.88705,0.94134,0.88272,0.37063,0.34467,0.94593,0.00516,0.00516,0.00516
46,4613.3,0.80582,0.59736,1.17407,0.92339,0.9146,0.94063,0.87903,0.37534,0.33293,0.94408,0.00505,0.00505,0.00505
47,4712.29,0.79878,0.58832,1.17357,0.93912,0.89233,0.94199,0.88388,0.35987,0.33379,0.93227,0.00494,0.00494,0.00494
48,4811.2,0.79873,0.5826,1.16699,0.94238,0.89807,0.94562,0.88343,0.36445,0.32022,0.94379,0.00483,0.00483,0.00483
49,4910.18,0.79825,0.58245,1.16644,0.94307,0.89807,0.95035,0.88514,0.37419,0.31145,0.94788,0.00472,0.00472,0.00472
50,5011.94,0.78289,0.5762,1.15988,0.93205,0.89807,0.94521,0.88241,0.37179,0.31686,0.93907,0.00461,0.00461,0.00461
51,5114.6,0.78897,0.57234,1.16339,0.93154,0.89963,0.94357,0.88853,0.36065,0.32661,0.93569,0.0045,0.0045,0.0045
52,5217.08,0.77559,0.56543,1.15457,0.91398,0.90909,0.943,0.88409,0.36986,0.329,0.94334,0.00439,0.00439,0.00439
53,5319.64,0.77631,0.55613,1.15316,0.93556,0.90083,0.94895,0.89352,0.35543,0.31171,0.93661,0.00428,0.00428,0.00428
54,5422.31,0.76985,0.56021,1.15373,0.93937,0.90083,0.94873,0.89104,0.36532,0.30933,0.93258,0.00417,0.00417,0.00417
55,5525.13,0.77136,0.55429,1.15226,0.94224,0.89807,0.94351,0.88786,0.36471,0.31152,0.93365,0.00406,0.00406,0.00406
56,5627.66,0.76712,0.55,1.15156,0.92529,0.92123,0.94292,0.88831,0.36057,0.30909,0.92716,0.00395,0.00395,0.00395
57,5730.13,0.76181,0.53871,1.14821,0.92917,0.91185,0.94503,0.8879,0.36882,0.3154,0.93357,0.00384,0.00384,0.00384
58,5832.16,0.75935,0.53958,1.14736,0.92672,0.90579,0.94308,0.88504,0.37498,0.32087,0.94377,0.00373,0.00373,0.00373
59,5934.3,0.75101,0.53622,1.13805,0.91126,0.91185,0.94452,0.89,0.36506,0.32504,0.94206,0.00362,0.00362,0.00362
60,6036.51,0.75704,0.53394,1.14052,0.9229,0.90083,0.94232,0.88184,0.37337,0.33857,0.95509,0.00351,0.00351,0.00351
61,6138.76,0.73453,0.5181,1.12453,0.91464,0.92011,0.9456,0.88875,0.3575,0.3156,0.94145,0.0034,0.0034,0.0034
62,6241.08,0.74387,0.52645,1.13546,0.93179,0.9146,0.94762,0.89261,0.35739,0.30903,0.93855,0.00329,0.00329,0.00329
63,6343.3,0.73534,0.51801,1.13093,0.92512,0.89807,0.94403,0.8863,0.36623,0.31467,0.93902,0.00318,0.00318,0.00318
64,6445.41,0.73334,0.52037,1.12542,0.92674,0.90605,0.94235,0.88701,0.37083,0.32158,0.94373,0.00307,0.00307,0.00307
65,6547.66,0.72285,0.51031,1.12281,0.95469,0.87069,0.93916,0.88631,0.36965,0.3208,0.945,0.00296,0.00296,0.00296
66,6649.87,0.72685,0.5091,1.12793,0.92649,0.90269,0.94313,0.88248,0.36271,0.32891,0.94041,0.00285,0.00285,0.00285
67,6752.14,0.72053,0.50316,1.12279,0.9341,0.89813,0.94071,0.88345,0.36273,0.32761,0.93833,0.00274,0.00274,0.00274
68,6854.38,0.71589,0.49201,1.11834,0.9163,0.90083,0.94221,0.88125,0.36647,0.32822,0.9384,0.00263,0.00263,0.00263
69,6956.63,0.71545,0.50145,1.11688,0.91155,0.90909,0.94001,0.88155,0.3633,0.32802,0.93637,0.00252,0.00252,0.00252
70,7058.75,0.707,0.48814,1.10971,0.92105,0.91736,0.94237,0.88264,0.36642,0.32119,0.93173,0.00241,0.00241,0.00241
